Rank,Segment,Codes
1,Champions,555
1,Champions,554
1,Champions,544
1,Champions,545
1,Champions,454
1,Champions,455
1,Champions,445
2,Loyal customers,543
2,Loyal customers,444
2,Loyal customers,435
2,Loyal customers,355
2,Loyal customers,354
2,Loyal customers,345
2,Loyal customers,344
2,Loyal customers,335
3,Potential loyal,553
3,Potential loyal,551
3,Potential loyal,552
3,Potential loyal,541
3,Potential loyal,542
3,Potential loyal,533
3,Potential loyal,532
3,Potential loyal,531
3,Potential loyal,452
3,Potential loyal,451
3,Potential loyal,442
3,Potential loyal,441
3,Potential loyal,431
3,Potential loyal,453
3,Potential loyal,433
3,Potential loyal,432
3,Potential loyal,423
3,Potential loyal,353
3,Potential loyal,352
3,Potential loyal,351
3,Potential loyal,342
3,Potential loyal,341
3,Potential loyal,333
3,Potential loyal,323
4,New customers,512
4,New customers,511
4,New customers,422
4,New customers,421
4,New customers,412
4,New customers,411
4,New customers,311
5,Promising,525
5,Promising,524
5,Promising,523
5,Promising,522
5,Promising,521
5,Promising,515
5,Promising,514
5,Promising,513
5,Promising,425
5,Promising,424
5,Promising,413
5,Promising,414
5,Promising,415
5,Promising,315
5,Promising,314
5,Promising,313
6,Need attention,535
6,Need attention,534
6,Need attention,443
6,Need attention,434
6,Need attention,343
6,Need attention,334
6,Need attention,325
6,Need attention,324
7,Cannot loos them,155
7,Cannot loos them,154
7,Cannot loos them,144
7,Cannot loos them,214
7,Cannot loos them,215
7,Cannot loos them,115
7,Cannot loos them,114
7,Cannot loos them,113
8,Sleep,331
8,Sleep,321
8,Sleep,312
8,Sleep,221
8,Sleep,213
9,At risk,255
9,At risk,254
9,At risk,245
9,At risk,244
9,At risk,253
9,At risk,252
9,At risk,243
9,At risk,242
9,At risk,235
9,At risk,234
9,At risk,225
9,At risk,224
9,At risk,153
9,At risk,152
9,At risk,145
9,At risk,143
9,At risk,142
9,At risk,135
9,At risk,134
9,At risk,133
9,At risk,125
9,At risk,124
10,Hibernating,332
10,Hibernating,322
10,Hibernating,231
10,Hibernating,241
10,Hibernating,251
10,Hibernating,233
10,Hibernating,232
10,Hibernating,223
10,Hibernating,222
10,Hibernating,132
10,Hibernating,123
10,Hibernating,122
10,Hibernating,212
10,Hibernating,211
11,Lost,111
11,Lost,112
11,Lost,121
11,Lost,131
11,Lost,141
11,Lost,151
